id,username,password_hash,role,email,created_at
1,"admin_01","$2y$10$placeholder","admin","admin01@infrawatch.local","2026-01-10 08:00:00"
2,"admin_02","$2y$10$placeholder","admin","admin02@infrawatch.local","2026-01-10 08:05:00"
3,"eng_01","$2y$10$placeholder","engineer","eng01@infrawatch.local","2026-01-11 09:00:00"
4,"eng_02","$2y$10$placeholder","engineer","eng02@infrawatch.local","2026-01-11 09:05:00"
5,"eng_03","$2y$10$placeholder","engineer","eng03@infrawatch.local","2026-01-12 10:00:00"
6,"eng_04","$2y$10$placeholder","engineer","eng04@infrawatch.local","2026-01-12 10:05:00"
7,"eng_05","$2y$10$placeholder","engineer","eng05@infrawatch.local","2026-01-13 11:00:00"
8,"eng_06","$2y$10$placeholder","engineer","eng06@infrawatch.local","2026-01-13 11:05:00"
9,"eng_07","$2y$10$placeholder","engineer","eng07@infrawatch.local","2026-01-14 12:00:00"
10,"eng_08","$2y$10$placeholder","engineer","eng08@infrawatch.local","2026-01-14 12:05:00"
11,"eng_09","$2y$10$placeholder","engineer","eng09@infrawatch.local","2026-01-15 08:00:00"
12,"eng_10","$2y$10$placeholder","engineer","eng10@infrawatch.local","2026-01-15 08:05:00"
13,"eng_11","$2y$10$placeholder","engineer","eng11@infrawatch.local","2026-01-16 09:00:00"
14,"eng_12","$2y$10$placeholder","engineer","eng12@infrawatch.local","2026-01-16 09:05:00"
15,"eng_13","$2y$10$placeholder","engineer","eng13@infrawatch.local","2026-01-17 10:00:00"
16,"eng_14","$2y$10$placeholder","engineer","eng14@infrawatch.local","2026-01-17 10:05:00"
17,"eng_15","$2y$10$placeholder","engineer","eng15@infrawatch.local","2026-01-18 11:00:00"
18,"eng_16","$2y$10$placeholder","engineer","eng16@infrawatch.local","2026-01-18 11:05:00"
19,"eng_17","$2y$10$placeholder","engineer","eng17@infrawatch.local","2026-01-19 12:00:00"
20,"eng_18","$2y$10$placeholder","engineer","eng18@infrawatch.local","2026-01-19 12:05:00"
21,"eng_19","$2y$10$placeholder","engineer","eng19@infrawatch.local","2026-01-20 08:00:00"
22,"eng_20","$2y$10$placeholder","engineer","eng20@infrawatch.local","2026-01-20 08:05:00"
23,"eng_21","$2y$10$placeholder","engineer","eng21@infrawatch.local","2026-01-21 09:00:00"
24,"eng_22","$2y$10$placeholder","engineer","eng22@infrawatch.local","2026-01-21 09:05:00"
25,"eng_23","$2y$10$placeholder","engineer","eng23@infrawatch.local","2026-01-22 10:00:00"
26,"eng_24","$2y$10$placeholder","engineer","eng24@infrawatch.local","2026-01-22 10:05:00"
27,"eng_25","$2y$10$placeholder","engineer","eng25@infrawatch.local","2026-01-23 11:00:00"
28,"eng_26","$2y$10$placeholder","engineer","eng26@infrawatch.local","2026-01-23 11:05:00"
29,"eng_27","$2y$10$placeholder","engineer","eng27@infrawatch.local","2026-01-24 12:00:00"
30,"eng_28","$2y$10$placeholder","engineer","eng28@infrawatch.local","2026-01-24 12:05:00"
31,"eng_29","$2y$10$placeholder","engineer","eng29@infrawatch.local","2026-01-25 08:00:00"
32,"eng_30","$2y$10$placeholder","engineer","eng30@infrawatch.local","2026-01-25 08:05:00"
33,"eng_31","$2y$10$placeholder","engineer","eng31@infrawatch.local","2026-01-26 09:00:00"
34,"eng_32","$2y$10$placeholder","engineer","eng32@infrawatch.local","2026-01-26 09:05:00"
35,"eng_33","$2y$10$placeholder","engineer","eng33@infrawatch.local","2026-01-27 10:00:00"
36,"eng_34","$2y$10$placeholder","engineer","eng34@infrawatch.local","2026-01-27 10:05:00"
37,"eng_35","$2y$10$placeholder","engineer","eng35@infrawatch.local","2026-01-28 11:00:00"
38,"eng_36","$2y$10$placeholder","engineer","eng36@infrawatch.local","2026-01-28 11:05:00"
39,"eng_37","$2y$10$placeholder","engineer","eng37@infrawatch.local","2026-01-29 12:00:00"
40,"eng_38","$2y$10$placeholder","engineer","eng38@infrawatch.local","2026-01-29 12:05:00"
41,"viewer_01","$2y$10$placeholder","viewer","viewer01@infrawatch.local","2026-02-01 08:00:00"
42,"viewer_02","$2y$10$placeholder","viewer","viewer02@infrawatch.local","2026-02-01 08:05:00"
43,"viewer_03","$2y$10$placeholder","viewer","viewer03@infrawatch.local","2026-02-02 09:00:00"
44,"viewer_04","$2y$10$placeholder","viewer","viewer04@infrawatch.local","2026-02-02 09:05:00"
45,"viewer_05","$2y$10$placeholder","viewer","viewer05@infrawatch.local","2026-02-03 10:00:00"
46,"viewer_06","$2y$10$placeholder","viewer","viewer06@infrawatch.local","2026-02-03 10:05:00"
47,"viewer_07","$2y$10$placeholder","viewer","viewer07@infrawatch.local","2026-02-04 11:00:00"
48,"viewer_08","$2y$10$placeholder","viewer","viewer08@infrawatch.local","2026-02-04 11:05:00"
49,"viewer_09","$2y$10$placeholder","viewer","viewer09@infrawatch.local","2026-02-05 12:00:00"
50,"viewer_10","$2y$10$placeholder","viewer","viewer10@infrawatch.local","2026-02-05 12:05:00"
